symbol,display_symbol,name_en,name_local,sector,description,price,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
AAPL,AAPL,Apple Inc.,애플,소비자 전자기기,아이폰·맥·서비스 생태계,271.06,59.7,285.92,194.68,-5.2,0.9,34.4,297.71,9.8,Uptrend,4,261.95,3.48,False,265.39,2.14,False,244.99,10.64,False,39.0,0
TSLA,TSLA,Tesla Inc.,테슬라,전기차·에너지,전기차·에너지 저장·자율주행,376.3,48.9,489.88,259.51,-23.2,0.9,345.2,418.38,11.2,Strong Downtrend,1,392.16,-4.04,False,417.49,-9.87,False,388.7,-3.19,False,28.0,0
AMZN,AMZN,Amazon.com Inc.,아마존,이커머스·클라우드,온라인 쇼핑·AWS 클라우드,263.99,80.4,263.99,184.42,0.0,1.16,36.8,283.79,7.5,Neutral,3,219.67,20.18,False,227.15,16.22,False,223.95,17.88,False,3.0,0
META,META,Meta Platforms Inc.,메타 플랫폼스,소셜 미디어,페이스북·인스타그램·왓츠앱,675.03,61.5,788.15,525.72,-14.4,0.76,28.7,855.11,26.7,Strong Downtrend,1,639.09,5.62,False,639.3,5.59,False,679.23,-0.62,True,54.0,1
MSFT,MSFT,Microsoft Corp.,마이크로소프트,소프트웨어·클라우드,윈도우·Azure·Office 365,424.62,63.5,539.83,356.77,-21.3,0.8,26.6,576.42,35.7,Strong Downtrend,1,397.14,6.92,False,439.9,-3.47,False,468.92,-9.45,False,50.0,0
GOOG,GOOG,Alphabet Inc. (C),알파벳(구글) C,인터넷·광고,구글 검색·YouTube·GCP,342.32,69.7,344.66,152.27,-0.7,1.03,31.6,363.36,6.1,Uptrend,4,312.12,9.68,False,311.42,9.92,False,259.1,32.12,False,19.0,0
NVDA,NVDA,NVIDIA Corp.,엔비디아,반도체·AI,GPU·데이터센터·AI 가속기,208.27,71.5,208.27,106.4,0.0,1.43,42.6,268.61,29.0,Uptrend,4,185.01,12.57,False,185.3,12.4,False,176.25,18.17,False,29.0,0
GOOGL,GOOGL,Alphabet Inc. (A),알파벳(구글) A,인터넷·광고,구글 검색·YouTube·GCP,344.4,69.0,344.4,150.86,0.0,1.0,31.9,377.29,9.5,Uptrend,4,312.88,10.07,False,311.48,10.57,False,258.71,33.12,False,19.0,0
AVGO,AVGO,Broadcom Inc.,브로드컴,반도체,네트워크·스토리지·AI 맞춤칩,422.76,77.8,422.76,186.64,0.0,0.99,82.6,475.49,12.5,Uptrend,4,338.92,24.74,False,346.4,22.04,False,321.08,31.67,False,10.0,0
NFLX,NFLX,Netflix Inc.,넷플릭스,스트리밍·미디어,글로벌 OTT 동영상 스트리밍,92.44,40.8,133.91,75.86,-31.0,0.72,29.8,114.38,23.7,Downtrend,2,91.22,1.34,True,94.9,-2.59,False,107.98,-14.39,False,39.0,1
