symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
PL=F,PL,Platinum Futures,백금 선물,귀금속,Platinum precious metals proxy.,2012.0,2026.1,2007.0,2015.0,1996.6,2015.0,0.92,0.77,0.15,0.95,0.55,0.25,Bullish,49.8,2852.4,957.5,-29.4,7.66,,,,,,,,-16.7954,-13.1368,-3.6586,Improving,12.63,0.44,Neutral,3,2060.69,-2.22,False,2034.43,-0.96,True,1715.6,17.45,False,1,62.67,78.0,50,56.08,73.25,64.04
CL=F,CL,Crude Oil Futures,WTI 원유,에너지,WTI crude oil energy benchmark.,99.73,101.77,99.11,101.65,101.94,101.65,-0.28,-2.17,1.93,2.67,0.12,0.62,Strong Bullish,55.7,112.95,55.27,-10.0,0.05,,,,,,,,2.6295,2.0984,0.5311,Positive,27.28,0.678,Strong Uptrend,5,87.28,16.46,False,73.32,38.64,False,68.67,48.03,False,0,68.0,78.6,50,67.43,57.25,65.89
GC=F,GC,Gold Futures,금 선물,귀금속,Precious metals proxy.,4644.0,4650.6,4622.4,4628.3,4629.9,4628.3,-0.03,0.3,-0.34,0.61,0.14,0.13,Bearish,44.4,5318.4,3181.4,-13.0,5.57,,,,,,,,-43.2926,-34.786,-8.5066,Improving,7.22,0.242,Neutral,3,4852.58,-4.62,False,4646.47,-0.39,True,4107.1,12.69,False,1,62.67,70.6,50,56.08,63.0,61.16
HG=F,HG,Copper Futures,구리 선물,산업금속,Industrial metals proxy.,5.99,6.0,5.98,5.98,5.93,5.98,0.84,1.01,-0.17,0.33,0.17,0.0,Bearish Rejection,56.1,6.18,4.33,-3.2,0.22,,,,,,,,0.0598,0.0755,-0.0157,Improving,9.59,0.55,Strong Uptrend,5,5.8,3.1,False,5.65,5.84,False,5.27,13.47,False,0,72.0,63.6,50,82.06,55.25,65.33
NG=F,NG,Natural Gas Futures,천연가스,에너지,Natural gas energy benchmark.,2.78,2.84,2.75,2.83,2.78,2.83,1.8,0.0,1.8,3.24,0.36,1.08,Bullish,54.7,7.46,2.52,-62.1,0.03,,,,,,,,-0.0524,-0.0913,0.0389,Bullish,13.67,0.942,Strong Downtrend,1,2.91,-2.75,False,3.61,-21.61,False,3.45,-17.97,False,0,11.0,73.4,50,67.43,48.5,46.61
ZC=F,ZC,Corn Futures,옥수수 선물,농산물,Agriculture grain proxy.,473.75,483.5,472.75,480.25,464.75,480.25,3.34,1.94,1.37,2.27,0.69,0.21,Bullish,74.9,480.25,371.5,0.0,1.27,,,,,,,,5.2235,2.7517,2.4718,Bullish,8.71,1.171,Strong Uptrend,5,446.73,7.5,False,440.39,9.05,False,427.74,12.28,False,0,65.0,62.4,50,62.31,68.25,61.27
SI=F,SI,Silver Futures,은 선물,귀금속,Precious metals proxy.,76.46,76.53,75.89,76.32,75.95,76.32,0.49,0.67,-0.18,0.84,0.09,0.56,Bearish,50.5,115.08,32.16,-33.7,0.88,,,,,,,,-0.5641,-0.495,-0.0691,Improving,13.94,0.501,Neutral,3,78.2,-2.4,False,74.68,2.2,False,57.64,32.41,False,0,43.0,68.6,50,56.08,54.25,53.89
BZ=F,BZ,Brent Crude Oil Futures,브렌트 원유,에너지,Brent crude oil international benchmark.,107.13,108.2,105.66,108.12,108.17,108.12,-0.05,-0.96,0.92,2.37,0.07,1.37,Bullish Reversal,54.6,118.35,58.92,-8.6,0.06,,,,,,,,3.5275,2.8599,0.6676,Positive,29.89,0.687,Strong Uptrend,5,93.46,15.69,False,78.49,37.75,False,72.83,48.46,False,0,68.0,78.2,50,67.43,56.5,65.71
SB=F,SB,Sugar Futures,설탕 선물,농산물,Soft commodities proxy.,14.64,15.01,14.42,14.97,14.58,14.97,2.67,0.41,2.25,4.03,0.27,1.5,Bullish,61.8,18.22,13.31,-17.8,1.45,,,,,,,,-0.0311,-0.1893,0.1581,Bullish,14.79,0.977,Strong Downtrend,1,14.37,4.18,False,14.58,2.67,False,15.33,-2.35,False,0,27.0,77.4,50,62.31,74.0,54.2
ZW=F,ZW,Wheat Futures,밀 선물,농산물,Agriculture grain proxy.,637.75,644.75,632.75,637.75,623.75,637.75,2.24,2.24,0.0,1.88,1.1,0.78,Long Upper Doji,62.0,649.0,495.0,-1.7,1.48,,,,,,,,12.149,8.3164,3.8326,Positive,14.43,0.893,Strong Uptrend,5,586.73,8.7,False,555.51,14.8,False,540.02,18.1,False,0,65.0,66.2,50,62.31,57.5,61.15
