symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
^N225,N225,Nikkei 225,닛케이 225,JP Index,Japanese large-cap benchmark.,59716.18,0.97,64.5,59716.18,33920.4,0.0,0.95,,,,Strong Uptrend,5,55539.97,7.52,False,53263.71,12.11,False,47454.17,25.84,False,45.0,0
^GSPC,GSPC,S&P 500 Index,S&P 500,US Index,Large-cap US equities benchmark.,7173.91,0.12,70.4,7173.91,5525.21,0.0,0.59,,,,Neutral,3,6815.53,5.26,False,6828.49,5.06,False,6595.82,8.76,False,3.0,0
^IXIC,IXIC,NASDAQ Composite,나스닥 종합,US Index,Broad technology-heavy US index.,24887.1,0.2,72.9,24887.1,17366.13,0.0,0.78,,,,Neutral,3,22804.62,9.13,False,23058.16,7.93,False,22124.02,12.49,False,3.0,0
^DJI,DJI,Dow Jones Industrial Average,다우 존스,US Index,30-stock US blue-chip index.,49167.79,-0.13,62.3,50188.14,40113.5,-2.0,1.04,,,,Uptrend,4,48165.08,2.08,False,48130.87,2.15,False,46404.59,5.95,False,39.0,0
^VIX,VIX,CBOE Volatility Index,VIX 공포지수,Risk Indicator,Market-implied US equity volatility and fear gauge.,18.02,-3.69,40.1,31.05,13.47,-42.0,,,,,Uptrend,4,21.81,-17.38,False,19.44,-7.3,False,18.26,-1.31,True,32.0,1
^KS11,KS11,KOSPI Composite,코스피,KR Index,Broad Korean stock market index.,6475.63,-0.0,68.2,6475.81,2447.43,-0.0,0.91,,,,Strong Uptrend,5,5638.33,14.85,False,4940.38,31.08,False,4049.53,59.91,False,25.0,0
^HSI,HSI,Hang Seng Index,항셍 지수,HK Index,Hong Kong large-cap benchmark.,25978.07,0.24,51.8,27968.09,21056.98,-7.1,0.88,,,,Downtrend,2,26125.04,-0.56,True,26121.89,-0.55,True,25508.99,1.84,True,39.0,3
^FTSE,FTSE,FTSE 100,FTSE 100,UK Index,United Kingdom large-cap benchmark.,10379.1,-0.74,47.1,10910.6,8417.3,-4.9,0.69,,,,Uptrend,4,10414.6,-0.34,True,10135.18,2.41,False,9622.57,7.86,False,43.0,1
^GDAXI,GDAXI,DAX Index,독일 DAX,DE Index,German large-cap benchmark.,24128.98,-0.11,54.7,25420.66,22271.67,-5.1,1.03,,,,Downtrend,2,24057.55,0.3,True,24156.68,-0.11,True,24072.91,0.23,True,39.0,3
^FCHI,FCHI,CAC 40,프랑스 CAC40,FR Index,French large-cap benchmark.,8157.82,-0.84,50.8,8620.93,7537.57,-5.4,0.88,,,,Neutral,3,8155.85,0.02,True,8140.6,0.21,True,7989.11,2.11,False,41.0,2
