symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
^GSPC,GSPC,S&P 500 Index,S&P 500,US Index,Large-cap US equities benchmark.,7234.54,7272.52,7229.32,7230.12,7209.01,7230.12,0.29,0.35,-0.06,0.6,0.52,0.01,Long Upper Doji,71.2,7230.12,5604.14,0.0,0.58,,,,,,,,127.852,112.9151,14.9369,Positive,10.78,0.793,Uptrend,4,6832.16,5.82,False,6841.6,5.68,False,6616.9,9.27,False,0,53.0,53.2,50,66.03,55.25,54.63
^KS11,KS11,KOSPI Composite,코스피,KR Index,Broad Korean stock market index.,6739.39,6750.27,6597.83,6598.87,6690.9,6598.87,-1.38,0.72,-2.09,2.26,0.16,0.02,Strong Bearish,67.8,6690.9,2483.42,-1.4,0.71,,,,,,,,283.489,238.6047,44.8843,Positive,27.05,0.781,Strong Uptrend,5,5735.74,15.05,False,5023.78,31.35,False,4117.35,60.27,False,0,65.0,59.6,50,70.34,51.5,60.1
^HSI,HSI,Hang Seng Index,항셍 지수,HK Index,Hong Kong large-cap benchmark.,26008.32,26072.24,25734.16,25776.53,26111.84,25776.53,-1.28,-0.4,-0.89,1.3,0.25,0.16,Strong Bearish,48.8,27968.09,21909.76,-7.8,1.33,,,,,,,,69.767,77.566,-7.7989,Bearish,6.47,0.451,Strong Downtrend,1,26042.12,-1.02,True,26109.59,-1.28,True,25557.36,0.86,True,3,52.0,63.0,50,23.04,55.5,50.36
^IXIC,IXIC,NASDAQ Composite,나스닥 종합,US Index,Broad technology-heavy US index.,24977.79,25223.12,24967.09,25114.44,24892.31,25114.44,0.89,0.34,0.55,1.03,0.44,0.04,Bullish,72.5,25114.44,17689.66,0.0,0.72,,,,,,,,667.8503,593.4538,74.3965,Positive,16.54,0.799,Uptrend,4,22906.78,9.64,False,23104.89,8.7,False,22219.28,13.03,False,0,53.0,60.0,50,66.03,61.75,56.98
^DJI,DJI,Dow Jones Industrial Average,다우 존스,US Index,30-stock US blue-chip index.,49832.57,49988.56,49496.47,49499.27,49652.14,49499.27,-0.31,0.36,-0.67,0.99,0.31,0.01,Strong Bearish,62.8,50188.14,40752.96,-1.4,0.96,,,,,,,,546.1339,493.4083,52.7256,Positive,7.3,0.733,Neutral,3,48166.96,2.77,False,48201.78,2.69,False,46521.19,6.4,False,0,48.0,62.6,50,66.03,51.5,55.1
^VIX,VIX,CBOE Volatility Index,VIX 공포지수,Risk Indicator,Market-implied US equity volatility and fear gauge.,17.01,17.39,16.44,16.99,16.89,16.99,0.59,0.71,-0.12,5.58,2.23,3.23,Long Lower Doji,38.6,31.05,13.47,-45.3,,,,,,,,,-1.4886,-1.3716,-0.117,Bearish,45.75,0.245,Uptrend,4,21.81,-22.1,False,19.41,-12.47,False,18.25,-6.9,False,0,40.0,63.25,50,72.13,58.33,54.46
^FTSE,FTSE,FTSE 100,FTSE 100,UK Index,United Kingdom large-cap benchmark.,10213.3,10387.6,10205.2,10378.8,10213.1,10378.8,1.62,0.0,1.62,1.79,0.09,0.08,Strong Bullish,48.8,10910.6,8531.6,-4.9,1.23,,,,,,,,-2.3827,29.4142,-31.7969,Improving,4.92,0.3,Uptrend,4,10417.83,-0.37,True,10154.48,2.21,False,9649.44,7.56,False,1,71.67,85.6,50,79.34,59.25,70.73
^N225,N225,Nikkei 225,닛케이 225,JP Index,Japanese large-cap benchmark.,59484.71,59560.57,58928.2,59284.92,59917.46,59284.92,-1.06,-0.72,-0.34,1.06,0.13,0.6,Bearish,59.7,60537.36,34220.6,-2.1,1.38,,,,,,,,1449.2373,1276.579,172.6582,Positive,17.79,0.682,Strong Uptrend,5,55868.01,6.12,False,53487.78,10.84,False,47742.51,24.18,False,0,65.0,76.6,50,72.58,55.5,65.09
^FCHI,FCHI,CAC 40,프랑스 CAC40,FR Index,French large-cap benchmark.,7962.84,8115.08,7957.83,8114.84,8072.13,8114.84,0.53,-1.35,1.91,1.97,0.0,0.06,Strong Bullish,48.9,8620.93,7537.57,-5.9,1.48,,,,,,,,20.8484,40.0381,-19.1897,Bearish,6.45,0.368,Neutral,3,8153.76,-0.48,True,8142.4,-0.34,True,7992.58,1.53,True,3,76.0,77.0,50,59.71,59.25,66.93
^GDAXI,GDAXI,DAX Index,독일 DAX,DE Index,German large-cap benchmark.,23715.71,24293.11,23715.71,24292.38,23954.56,24292.38,1.41,-1.0,2.43,2.43,0.0,0.0,Strong Bullish,57.2,25420.66,22300.75,-4.4,1.21,,,,,,,,154.2404,137.6742,16.5662,Bullish,7.08,0.693,Downtrend,2,24022.92,1.12,True,24158.26,0.56,True,24076.72,0.9,True,3,61.0,92.0,50,53.87,59.25,65.31
