symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
041510.KQ,041510,SM Entertainment,에스엠,엔터테인먼트,"SM엔터 K-팝 기획·제작, EXO·aespa·NCT",96100.0,3.67,56.4,152508.0,83000.0,-37.0,2.27,,,,Strong Downtrend,0,99995.0,-3.9,False,105317.0,-8.75,False,119082.0,-19.3,False,20.0,0
122870.KQ,122870,YG Entertainment Inc.,와이지엔터테인먼트,엔터테인먼트,"K-팝 기획사, BLACKPINK·BIGBANG·TREASURE",54500.0,0.55,47.3,107400.0,49900.0,-49.3,0.88,,,,Strong Downtrend,0,61950.0,-12.03,False,64257.0,-15.18,False,77415.0,-29.6,False,11.0,0
247540.KQ,247540,EcoPro BM Co.,에코프로비엠,이차전지 소재,"NCM 양극재 제조, 전기차 배터리 핵심 소재",213500.0,2.89,56.5,245879.0,81160.0,-13.2,0.98,,,,Strong Uptrend,5,204165.0,4.57,False,181578.0,17.58,False,148169.0,44.09,False,51.0,0
196170.KQ,196170,Alteogen Inc.,알테오젠,바이오,"피하주사 플랫폼 ALT-B4, ADC 항체-약물 접합체 개발",376500.0,-0.66,54.1,559000.0,317500.0,-32.6,1.09,,,,Downtrend,2,373442.0,0.82,True,428221.0,-12.08,False,426075.0,-11.64,False,31.0,1
028300.KQ,028300,HLB Inc.,HLB,바이오,"리보세라닙 항암 신약 개발, HLB그룹 지주",62900.0,1.62,61.5,68200.0,37000.0,-7.8,0.64,,,,Strong Uptrend,5,54130.0,16.2,False,52201.0,20.5,False,49311.0,27.56,False,45.0,0
086520.KQ,086520,EcoPro Co.,에코프로,이차전지 소재,"에코프로비엠 지주, 이차전지 소재 그룹사",161500.0,3.26,58.4,184814.0,38311.0,-12.6,1.52,,,,Strong Uptrend,5,156356.0,3.29,False,126633.0,27.53,False,89038.0,81.38,False,56.0,0
058470.KQ,058470,Leeno Industrial Inc.,리노공업,반도체 부품,"반도체 검사용 소켓·핀 제조, 글로벌 점유율 1위",111400.0,1.46,48.9,127000.0,32768.0,-12.3,1.5,,,,Strong Uptrend,5,107682.0,3.45,False,84297.0,32.15,False,65163.0,70.96,False,56.0,0
035900.KQ,035900,JYP Entertainment,JYP엔터테인먼트,엔터테인먼트,"K-팝 기획사, TWICE·Stray Kids·NMIXX",63500.0,0.95,53.6,83841.0,57308.0,-24.3,1.26,,,,Strong Downtrend,0,64798.0,-2.0,True,66992.0,-5.21,False,70480.0,-9.9,False,25.0,1
263750.KQ,263750,Pearl Abyss Corp.,펄어비스,게임,"검은사막 개발사, 자체 엔진 기반 MMORPG",60600.0,0.66,55.8,72000.0,29500.0,-15.8,0.5,,,,Strong Uptrend,5,56405.0,7.44,False,47530.0,27.5,False,42217.0,43.54,False,51.0,0
293490.KQ,293490,Kakao Games Corp.,카카오게임즈,게임,"카카오 게임 퍼블리싱, 오딘·아키에이지 워",12290.0,-1.21,44.1,23500.0,11510.0,-47.7,0.94,,,,Strong Downtrend,0,13716.0,-10.4,False,14669.0,-16.22,False,15599.0,-21.21,False,4.0,0
096530.KQ,096530,Seegene Inc.,씨젠,바이오 진단,"분자진단 시약·장비 제조, 다중 동시 검출 원천기술",24800.0,-0.6,54.5,34360.0,21663.0,-27.8,0.52,,,,Strong Downtrend,1,24430.0,1.51,True,24504.0,1.21,True,26483.0,-6.36,False,35.0,2
357780.KQ,357780,Solbrain Co.,솔브레인,반도체 소재,"반도체·디스플레이용 화학 소재, 식각액·CMP슬러리",483500.0,-0.31,65.9,498027.0,155074.0,-2.9,0.79,,,,Strong Uptrend,5,423011.0,14.3,False,349357.0,38.4,False,282910.0,70.9,False,25.0,0
240810.KQ,240810,Wonik IPS Co.,원익IPS,반도체 장비,ALD·CVD 반도체 증착 장비 전문,121100.0,-0.33,52.1,137800.0,20935.0,-12.1,0.9,,,,Strong Uptrend,5,118432.0,2.25,False,93496.0,29.52,False,64681.0,87.23,False,51.0,0
005290.KQ,005290,Dongjin Semichem Co.,동진쎄미켐,반도체 소재,감광재(PR)·반도체 공정 화학재료 제조,58800.0,-3.29,59.3,63200.0,26428.0,-7.0,0.53,,,,Strong Uptrend,5,51625.0,13.9,False,44671.0,31.63,False,38764.0,51.69,False,45.0,0
277810.KQ,277810,Rainbow Robotics Inc.,레인보우로보틱스,로봇,"협동로봇·이족보행로봇 개발, 삼성전자 지분 투자",668000.0,-0.15,60.7,880000.0,253500.0,-24.1,1.21,,,,Uptrend,4,670750.0,-0.41,True,564746.0,18.28,False,426846.0,56.5,False,49.0,1
214450.KQ,214450,PharmaResearch Co.,파마리서치,의약품,DNA 단편(PDRN) 기반 조직재생 의약품·화장품,325000.0,-2.11,56.6,708934.0,282500.0,-54.2,1.26,,,,Strong Downtrend,0,330933.0,-1.79,True,382399.0,-15.01,False,465691.0,-30.21,False,15.0,1
257720.KQ,257720,Silicon2 Inc.,실리콘투,화장품 유통,"K-뷰티 역직구 플랫폼, 글로벌 화장품 B2B 유통",44650.0,-1.11,52.1,61313.0,31500.0,-27.2,0.69,,,,Downtrend,2,42127.0,5.99,False,42482.0,5.1,False,44840.0,-0.42,True,37.0,1
214150.KQ,214150,Classys Inc.,클래시스,의료기기,"비침습 미용 의료기기, 슈링크·볼뉴머 글로벌 판매",57500.0,-5.12,53.7,75600.0,46275.0,-23.9,1.78,,,,Neutral,3,58641.0,-1.95,True,57299.0,0.35,True,56729.0,1.36,True,56.0,3
030520.KQ,030520,Hancom Inc.,한글과컴퓨터,소프트웨어,"한컴오피스·한컴AI 오피스 솔루션, 공공 SW 1위",20900.0,-1.42,52.4,34500.0,18550.0,-39.4,0.54,,,,Strong Downtrend,0,21414.0,-2.4,False,22517.0,-7.18,False,24434.0,-14.46,False,15.0,0
067630.KQ,067630,HLB Life Science Co.,HLB생명과학,바이오,"HLB 계열 바이오, 항암 개량신약·천연물 의약품",4300.0,0.23,54.1,6630.0,3235.0,-35.1,0.62,,,,Downtrend,2,4041.0,6.41,False,4091.0,5.11,False,4363.0,-1.44,True,31.0,1
450080.KQ,450080,EcoPro Materials Co.,에코프로머티리얼즈,이차전지 소재,"양극재 전구체(pCAM) 제조, 에코프로그룹 소재 계열",86400.0,4.22,66.3,86400.0,41050.0,0.0,1.3,,,,Strong Uptrend,5,69433.0,24.44,False,64162.0,34.66,False,57478.0,50.32,False,25.0,0
064760.KQ,064760,TCSemiconductor Co.,티씨케이,반도체 부품,"식각 공정용 SiC 링·포커스링 제조, 고순도 세라믹",316000.0,3.95,69.0,316000.0,81406.0,0.0,1.15,,,,Strong Uptrend,5,238108.0,32.71,False,197079.0,60.34,False,157185.0,101.04,False,25.0,0
393890.KQ,393890,W-Scope Chungju Plant,더블유씨피,이차전지 소재,리튬이온 배터리 분리막(LiBS) 전문 제조,18500.0,1.59,63.6,20050.0,6070.0,-7.7,0.58,,,,Strong Uptrend,5,12662.0,46.11,False,9923.0,86.44,False,8746.0,111.53,False,45.0,0
041020.KQ,041020,Isplus Corp.,이스트소프트,소프트웨어,AI 영상 솔루션·알약·알툴즈 개인용 소프트웨어,4935.0,0.3,57.3,6540.0,3320.0,-24.5,0.33,,,,Downtrend,2,4524.0,9.08,False,4608.0,7.1,False,5178.0,-4.69,False,33.0,0
039200.KQ,039200,Oscotec Inc.,오스코텍,바이오,"키나제 억제제 계열 신약 개발, 세로토닌·JAK 표적",53900.0,-2.71,52.6,62000.0,25450.0,-13.1,0.89,,,,Strong Uptrend,5,52581.0,2.51,False,51410.0,4.84,False,42787.0,25.97,False,51.0,0
298380.KQ,298380,298380.KQ,298380.KQ,Unknown,No description,139400.0,-19.28,37.6,245500.0,59700.0,-43.2,6.59,,,,Downtrend,2,177205.0,-21.33,False,179285.0,-22.25,False,130117.0,7.13,False,16.0,0
950160.KQ,950160,950160.KQ,950160.KQ,Unknown,No description,106700.0,3.59,54.5,127000.0,32500.0,-16.0,1.17,,,,Strong Uptrend,5,101325.0,5.3,False,86012.0,24.05,False,63672.0,67.58,False,51.0,0
000250.KQ,000250,000250.KQ,000250.KQ,Unknown,No description,432000.0,-2.92,37.8,1184000.0,130900.0,-63.5,0.27,,,,Uptrend,4,651850.0,-33.73,False,448946.0,-3.77,False,315829.0,36.78,False,28.0,0
141080.KQ,141080,141080.KQ,141080.KQ,Unknown,No description,203500.0,-1.21,55.6,213500.0,97000.0,-4.7,0.95,,,,Strong Uptrend,5,190555.0,6.79,False,182081.0,11.76,False,157186.0,29.46,False,45.0,0
087010.KQ,087010,087010.KQ,087010.KQ,Unknown,No description,270500.0,-4.42,48.0,386000.0,153200.0,-29.9,0.95,,,,Neutral,3,281842.0,-4.02,False,277792.0,-2.62,False,266071.0,1.66,True,43.0,1
108490.KQ,108490,108490.KQ,108490.KQ,Unknown,No description,326500.0,-6.18,63.8,348000.0,33900.0,-6.2,1.55,,,,Strong Uptrend,5,269200.0,21.29,False,261082.0,25.06,False,179345.0,82.05,False,50.0,0
039030.KQ,039030,039030.KQ,039030.KQ,Unknown,No description,513000.0,1.58,67.6,513000.0,112882.0,0.0,0.88,,,,Strong Uptrend,5,419358.0,22.33,False,349829.0,46.64,False,273136.0,87.82,False,25.0,0
310210.KQ,310210,310210.KQ,310210.KQ,Unknown,No description,299500.0,-2.12,49.5,363500.0,91700.0,-17.6,0.54,,,,Strong Uptrend,5,287950.0,4.01,False,251982.0,18.86,False,191105.0,56.72,False,51.0,0
214370.KQ,214370,214370.KQ,214370.KQ,Unknown,No description,107000.0,-2.28,54.7,150100.0,23230.0,-28.7,0.99,,,,Uptrend,4,111908.0,-4.39,False,92001.0,16.3,False,69696.0,53.52,False,45.0,0
036930.KQ,036930,036930.KQ,036930.KQ,Unknown,No description,130500.0,3.57,81.6,130500.0,26030.0,0.0,0.53,,,,Strong Uptrend,5,66596.0,95.96,False,48184.0,170.84,False,39154.0,233.3,False,15.0,0
095340.KQ,095340,095340.KQ,095340.KQ,Unknown,No description,237500.0,-1.25,52.9,271000.0,47134.0,-12.4,0.65,,,,Strong Uptrend,5,208098.0,14.13,False,154255.0,53.97,False,108367.0,119.16,False,51.0,0
440110.KQ,440110,440110.KQ,440110.KQ,Unknown,No description,81600.0,0.37,75.6,81600.0,10040.0,0.0,1.12,,,,Strong Uptrend,5,54872.0,48.71,False,39039.0,109.02,False,26873.0,203.65,False,15.0,0
403870.KQ,403870,403870.KQ,403870.KQ,Unknown,No description,53700.0,-2.01,65.8,54800.0,20887.0,-2.0,0.87,,,,Strong Uptrend,5,45239.0,18.7,False,38457.0,39.64,False,32902.0,63.21,False,25.0,0
226950.KQ,226950,226950.KQ,226950.KQ,Unknown,No description,185300.0,-5.7,55.0,207000.0,34800.0,-10.5,0.88,,,,Strong Uptrend,5,167123.0,10.88,False,150496.0,23.13,False,106067.0,74.7,False,51.0,0
032820.KQ,032820,032820.KQ,032820.KQ,Unknown,No description,22250.0,-3.89,51.2,29300.0,1808.0,-24.1,0.48,,,,Strong Uptrend,5,19140.0,16.25,False,11823.0,88.19,False,7729.0,187.88,False,51.0,0
347850.KQ,347850,347850.KQ,347850.KQ,Unknown,No description,78700.0,-3.79,50.9,320000.0,49350.0,-75.4,0.77,,,,Strong Downtrend,0,80513.0,-2.25,False,98107.0,-19.78,False,118558.0,-33.62,False,11.0,0
319400.KQ,319400,319400.KQ,319400.KQ,Unknown,No description,31350.0,-0.16,57.0,46350.0,3830.0,-32.4,1.24,,,,Strong Uptrend,5,30011.0,4.46,False,23223.0,35.0,False,14660.0,113.85,False,45.0,0
237690.KQ,237690,237690.KQ,237690.KQ,Unknown,No description,168700.0,0.72,66.7,168700.0,71375.0,0.0,2.14,,,,Strong Uptrend,5,149786.0,12.63,False,133724.0,26.16,False,110336.0,52.9,False,30.0,0
145020.KQ,145020,145020.KQ,145020.KQ,Unknown,No description,265500.0,-0.93,54.7,388000.0,214000.0,-31.6,0.77,,,,Neutral,3,257475.0,3.12,False,245475.0,8.16,False,287450.0,-7.64,False,33.0,0
100790.KQ,100790,100790.KQ,100790.KQ,Unknown,No description,60300.0,-1.47,79.9,62400.0,4670.0,-3.4,0.25,,,,Strong Uptrend,5,28788.0,109.46,False,20021.0,201.18,False,13346.0,351.82,False,15.0,0
084370.KQ,084370,084370.KQ,084370.KQ,Unknown,No description,142000.0,4.41,62.5,147750.0,31097.0,-3.9,2.06,,,,Strong Uptrend,5,123239.0,15.22,False,103280.0,37.49,False,76751.0,85.01,False,50.0,0
178320.KQ,178320,178320.KQ,178320.KQ,Unknown,No description,51300.0,1.99,56.1,55800.0,18650.0,-8.1,0.91,,,,Strong Uptrend,5,43842.0,17.01,False,35066.0,46.3,False,28584.0,79.47,False,45.0,0
222800.KQ,222800,222800.KQ,222800.KQ,Unknown,No description,86500.0,0.58,70.9,88900.0,15708.0,-2.7,0.73,,,,Strong Uptrend,5,60018.0,44.12,False,56230.0,53.83,False,42510.0,103.48,False,15.0,0
083650.KQ,083650,083650.KQ,083650.KQ,Unknown,No description,97400.0,-1.12,52.5,109500.0,19870.0,-11.1,0.73,,,,Strong Uptrend,5,91430.0,6.53,False,71903.0,35.46,False,57843.0,68.39,False,51.0,0
043260.KQ,043260,043260.KQ,043260.KQ,Unknown,No description,41500.0,-3.38,44.3,53200.0,1015.0,-22.0,0.99,,,,Strong Uptrend,5,37527.0,10.59,False,22198.0,86.95,False,11692.0,254.94,False,44.0,0
058610.KQ,058610,058610.KQ,058610.KQ,Unknown,No description,135100.0,1.66,67.2,158100.0,22528.0,-14.5,2.28,,,,Strong Uptrend,5,125530.0,7.62,False,97867.0,38.04,False,62287.0,116.9,False,36.0,0
140410.KQ,140410,140410.KQ,140410.KQ,Unknown,No description,92800.0,0.98,48.7,172700.0,32500.0,-46.3,1.06,,,,Neutral,3,113317.0,-18.11,False,99593.0,-6.82,False,72577.0,27.86,False,29.0,0
098460.KQ,098460,098460.KQ,098460.KQ,Unknown,No description,39950.0,-8.16,67.3,43500.0,12804.0,-8.2,1.47,,,,Strong Uptrend,5,30564.0,30.71,False,27388.0,45.87,False,21423.0,86.48,False,25.0,0
031980.KQ,031980,031980.KQ,031980.KQ,Unknown,No description,132800.0,13.21,67.3,132800.0,30138.0,0.0,2.66,,,,Strong Uptrend,5,97768.0,35.83,False,73307.0,81.16,False,55351.0,139.92,False,30.0,0
030530.KQ,030530,030530.KQ,030530.KQ,Unknown,No description,35450.0,1.0,62.7,48700.0,4000.0,-27.2,2.38,,,,Neutral,3,32775.0,8.16,False,33348.0,6.3,False,21346.0,66.07,False,44.0,0
319660.KQ,319660,319660.KQ,319660.KQ,Unknown,No description,93500.0,1.63,64.0,93500.0,17047.0,0.0,0.93,,,,Strong Uptrend,5,72245.0,29.42,False,54193.0,72.53,False,38783.0,141.09,False,45.0,0
067310.KQ,067310,067310.KQ,067310.KQ,Unknown,No description,39800.0,-2.21,63.1,40700.0,10160.0,-2.2,0.64,,,,Strong Uptrend,5,33921.0,17.33,False,30018.0,32.59,False,22502.0,76.87,False,45.0,0
323280.KQ,323280,323280.KQ,323280.KQ,Unknown,No description,85200.0,-5.02,70.2,89700.0,20050.0,-5.0,1.28,,,,Strong Uptrend,5,67303.0,26.59,False,55342.0,53.95,False,41032.0,107.64,False,15.0,0
078600.KQ,078600,078600.KQ,078600.KQ,Unknown,No description,165800.0,-2.64,64.7,182800.0,59100.0,-9.3,0.79,,,,Strong Uptrend,5,112605.0,47.24,False,91328.0,81.54,False,81845.0,102.58,False,45.0,0
