티커,영문명,한국명,테마/섹터,설명,현재가(₩),RSI(14),52주고가(₩),52주저가(₩),52주고점대비(%),거래량비율(전일/20일평균),PER(후행),목표주가(₩),업사이드(%),MA60(₩),MA60차이(%),MA60근접,MA120(₩),MA120차이(%),MA120근접,MA240(₩),MA240차이(%),MA240근접,추세,추세점수
005930,Samsung Electronics,삼성전자,반도체·전자,메모리·시스템반도체·스마트폰·가전,219500,60.8,224500,53075,-2.2,0.77,,274603.0,25.1,189331,15.93,,152352,44.07,,110629,98.41,,강상승,5
006400,Samsung SDI,삼성SDI,배터리,전기차 배터리·ESS,641000,79.0,659000,160200,-2.7,0.79,,476576.0,-25.7,430033,49.06,,366804,74.75,,281988,127.31,,강상승,5
009150,Samsung Electro-Mechanics,삼성전기,전자부품,MLCC·카메라모듈·반도체 패키지기판,788000,79.5,812000,116137,-3.0,0.77,,642889.0,-18.4,446233,76.59,,349245,125.63,,251815,212.93,,강상승,5
018260,Samsung SDS,삼성SDS,IT서비스,삼성그룹 IT서비스·물류 BPO,169800,52.5,195000,112752,-12.9,1.71,,212000.0,24.9,166400,2.04,,168877,0.55,O,161093,5.4,,하락,2
028260,Samsung C&T,삼성물산,지주·건설,"삼성그룹 지주 역할, 건설·상사",311500,57.0,360000,112376,-13.5,0.79,,373750.0,20.0,298250,4.44,,271134,14.89,,219177,42.12,,강상승,5
032830,Samsung Life Insurance,삼성생명,보험,국내 1위 생명보험,244500,54.4,258000,74682,-5.2,0.89,,242422.0,-0.8,220068,11.1,,187494,30.4,,156748,55.98,,강상승,5
000810,Samsung Fire & Marine,삼성화재,보험,국내 1위 손해보험,456000,44.5,604929,328870,-24.6,1.28,,617028.0,35.3,479902,-4.98,,474325,-3.86,,446685,2.09,,중립,3
010140,Samsung Heavy Industries,삼성중공업,조선,삼성 계열 조선사,34400,73.3,34400,13990,0.0,1.78,,35913.0,4.4,28373,21.24,,27458,25.28,,23226,48.11,,강상승,5
000660,SK Hynix,SK하이닉스,반도체,D램·낸드플래시 메모리 세계 2위,1222000,67.9,1225000,172794,-0.2,0.73,,1597460.0,30.7,964213,26.74,,790819,54.52,,538990,126.72,,강상승,5
096770,SK Innovation,SK이노베이션,에너지·화학,정유·화학·배터리 소재,132900,64.7,137700,81100,-3.5,0.81,,118333.0,-11.0,118600,12.06,,115679,14.89,,110166,20.64,,강상승,5
034730,SK Inc.,SK,지주사,"SK그룹 지주, ICT·에너지·바이오",398500,67.6,414037,117140,-3.8,1.43,,440000.0,10.4,342544,16.34,,301539,32.16,,246354,61.76,,강상승,5
017670,SK Telecom,SK텔레콤,통신,국내 1위 이동통신,100000,68.8,100500,49139,-0.5,0.78,,81638.0,-18.4,81282,23.03,,67791,47.51,,60847,64.35,,강상승,5
051910,LG Chem,LG화학,화학·배터리,배터리 분사 후 석유화학·첨단소재,391500,68.6,416819,181234,-6.1,0.92,,419560.0,7.2,330351,18.51,,345723,13.24,,303911,28.82,,상승,4
373220,LG Energy Solution,LG에너지솔루션,배터리,전기차 배터리 세계 2위,481000,68.3,514000,268000,-6.4,0.82,,490500.0,2.0,401275,19.87,,410838,17.08,,377715,27.34,,상승,4
066570,LG Electronics,LG전자,전자·가전,가전·TV·차량부품·B2B,127500,59.5,145587,66947,-12.4,1.04,,129231.0,1.4,115465,10.42,,103669,22.99,,89511,42.44,,강상승,5
003550,LG Corporation,LG,지주사,LG그룹 지주회사,96000,58.7,105159,59276,-8.7,0.69,,107000.0,11.5,91251,5.2,,86062,11.55,,79532,20.71,,강상승,5
032640,LG Uplus,LG유플러스,통신,이동통신·초고속인터넷·IPTV,16600,52.6,17600,10276,-5.7,0.56,,18621.0,12.2,15891,4.46,,15337,8.23,,14546,14.12,,강상승,5
005380,Hyundai Motor,현대자동차,자동차,"국내 1위 완성차, 전기차 전환 중",513000,50.9,674000,170719,-23.9,1.3,,644562.0,25.6,510704,0.45,O,412757,24.29,,309935,65.52,,강상승,5
000270,Kia Corporation,기아,자동차,"현대차 계열 완성차, 글로벌 디자인",153400,47.8,197337,78552,-22.3,1.04,,219833.0,43.3,156760,-2.14,,138390,10.85,,117359,30.71,,상승,4
012330,Hyundai Mobis,현대모비스,자동차부품,현대·기아 핵심 부품 계열사,422500,51.7,522849,230595,-19.2,1.68,,554966.0,31.4,423012,-0.12,O,386596,9.29,,336880,25.42,,중립,3
001450,Hyundai Marine & Fire,현대해상,보험,현대차 계열 손해보험,30550,50.5,38800,20550,-21.3,0.73,,36641.0,19.9,31045,-1.59,O,29990,1.87,O,28236,8.2,,상승,4
068270,Celltrion,셀트리온,바이오,항체 바이오시밀러 세계 1위,209000,54.9,248500,145353,-15.9,1.01,,260348.0,24.6,212000,-1.42,O,201193,3.88,,184279,13.41,,중립,3
207940,Samsung Biologics,삼성바이오로직스,바이오·CMO,글로벌 바이오 CDMO,1528000,42.3,1965000,1504000,-22.2,1.2,,2212065.0,44.8,1634733,-6.53,,1710639,-10.68,,1656472,-7.76,,강하락,1
000100,Yuhan Corporation,유한양행,제약,"국내 대형 제약사, 레이저티닙 개발",94800,45.5,135080,91400,-29.8,0.9,,143368.0,51.2,100991,-6.13,,107745,-12.01,,110121,-13.91,,강하락,0
128940,Hanmi Pharmaceutical,한미약품,제약,"국내 제약 R&D 선도, 신약 수출",497500,45.8,623720,233646,-20.2,0.89,,559333.0,12.4,529443,-6.03,,487071,2.14,,395287,25.86,,상승,4
006280,Green Cross Holdings,GC녹십자,제약·혈액제제,"혈액제제 1위, 백신",142900,45.3,178509,114848,-19.9,1.08,,205400.0,43.7,153548,-6.93,,149512,-4.42,,140228,1.91,O,중립,3
035420,NAVER Corporation,NAVER,인터넷·플랫폼,국내 1위 검색 포털·클라우드,214000,51.1,287480,180801,-25.6,0.66,,305880.0,42.9,228764,-6.45,,238606,-10.31,,232918,-8.12,,강하락,1
035720,Kakao Corp.,카카오,인터넷·플랫폼,카카오톡 기반 플랫폼·핀테크,48050,46.0,70301,36399,-31.7,0.85,,73520.0,53.0,52492,-8.46,,56274,-14.61,,56051,-14.27,,강하락,1
036570,NCsoft Corporation,엔씨소프트,게임,리니지·블레이드&소울 MMORPG,270500,65.8,275000,135121,-1.6,0.73,,284043.0,5.0,226957,19.19,,220467,22.69,,206687,30.87,,강상승,5
