symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
373220.KS,373220,LG Energy Solution,LG에너지솔루션,배터리,전기차 배터리 세계 2위,471000.0,471500.0,457000.0,460500.0,473000.0,460500.0,-2.64,-0.42,-2.23,3.08,0.11,0.74,Strong Bearish,58.9,514000.0,268000.0,-10.4,1.04,,,,,,,,20277.6915,17541.4938,2736.1977,Positive,29.48,0.695,Neutral,3,404867.0,13.74,False,410517.0,12.18,False,380123.0,21.14,False,0,44.0,67.6,50,50.4,56.75,53.33
005935.KS,005935,삼성전자우,삼성전자우,Unknown,삼성전자우 (KOSPI),165000.0,167300.0,158300.0,158300.0,163500.0,158300.0,-3.18,0.92,-4.06,5.45,1.39,0.0,Strong Bearish,62.9,163500.0,44450.0,-3.2,1.36,,,,,,,,7633.0908,6270.9754,1362.1154,Positive,29.95,0.779,Strong Uptrend,5,134707.0,17.51,False,112049.0,41.28,False,85005.0,86.22,False,0,65.0,68.6,50,49.6,51.0,59.19
012450.KS,012450,"Hanwha Aerospace Co., Ltd.",한화에어로스페이스,산업재,한화에어로스페이스 (KOSPI200),1416000.0,1458000.0,1379000.0,1417000.0,1420000.0,1417000.0,-0.21,-0.28,0.07,5.58,2.9,2.61,Long Lower Doji,49.4,1537000.0,779000.0,-7.8,1.15,,,,,,,,8884.7193,19560.4584,-10675.7391,Improving,12.89,0.275,Strong Uptrend,5,1358033.0,4.34,False,1185642.0,19.51,False,1053331.0,34.53,False,0,75.0,75.2,50,73.4,60.5,68.36
034020.KS,034020,Doosan Enerbility,두산에너빌리티,에너지기계,원자력·가스터빈 발전설비,129800.0,129900.0,126000.0,127100.0,129200.0,127100.0,-1.63,0.46,-2.08,3.0,0.08,0.85,Strong Bearish,70.2,129200.0,25650.0,-1.6,0.84,,,,,,,,7723.8234,5618.8406,2104.9829,Positive,45.23,0.825,Strong Uptrend,5,102603.0,23.88,False,91989.0,38.17,False,76817.0,65.46,False,0,65.0,46.6,50,68.59,51.5,56.59
005930.KS,005930,Samsung Electronics,삼성전자,반도체·전자,메모리·시스템반도체·스마트폰·가전,229000.0,230000.0,220500.0,220500.0,226000.0,220500.0,-2.43,1.33,-3.71,4.15,0.44,0.0,Strong Bearish,58.6,226000.0,53900.0,-2.4,0.85,,,,,,,,8902.1745,8550.3618,351.8127,Positive,21.16,0.694,Strong Uptrend,5,193488.0,13.96,False,156399.0,40.99,False,113965.0,93.48,False,0,65.0,67.6,50,62.99,47.0,60.55
005380.KS,005380,Hyundai Motor,현대차,자동차,"국내 1위 완성차, 전기차 전환 중",556000.0,560000.0,531000.0,531000.0,556000.0,531000.0,-4.5,0.0,-4.5,5.22,0.72,0.0,Strong Bearish,53.2,674000.0,179900.0,-21.2,1.14,,,,,,,,11479.6011,8240.2637,3239.3374,Positive,22.35,0.65,Strong Uptrend,5,514025.0,3.3,False,422925.0,25.55,False,319091.0,66.41,False,0,75.0,67.6,50,46.88,56.75,62.11
402340.KS,402340,"SK Square Co., Ltd.",SK스퀘어,기술,SK스퀘어 (KOSPI200),845000.0,877000.0,840000.0,841000.0,830000.0,841000.0,1.33,1.81,-0.47,4.38,3.79,0.12,Long Upper Doji,78.4,841000.0,81700.0,0.0,1.09,,,,,,,,69275.3159,50669.5522,18605.7637,Positive,67.45,0.893,Strong Uptrend,5,596167.0,41.07,False,474675.0,77.17,False,322310.0,160.93,False,0,65.0,50.2,50,56.36,55.0,56.0
000660.KS,000660,SK Hynix,SK하이닉스,반도체,D램·낸드플래시 메모리 세계 2위,1312000.0,1325000.0,1286000.0,1286000.0,1293000.0,1286000.0,-0.54,1.47,-1.98,2.97,0.99,0.0,Strong Bearish,70.5,1300000.0,173800.0,-1.1,0.83,,,,,,,,91116.2115,76858.9351,14257.2764,Positive,48.8,0.79,Strong Uptrend,5,993817.0,29.4,False,815242.0,57.74,False,559043.0,130.04,False,0,65.0,52.6,50,76.22,51.5,59.23
329180.KS,329180,"HD Hyundai Heavy Industries Co., Ltd.",HD현대중공업,산업재,HD현대중공업 (KOSPI200),0.0,685000.0,685000.0,685000.0,690000.0,685000.0,-0.72,-100.0,,,,,Flat,75.0,690000.0,352000.0,-0.7,0.0,,,,,,,,44322.2601,23279.2388,21043.0213,Positive,65.59,0.867,Downtrend,2,552358.0,24.01,False,557121.0,22.95,False,511752.0,33.85,False,0,29.0,49.6,50,73.4,51.5,47.26
207940.KS,207940,Samsung Biologics,삼성바이오로직스,바이오·CMO,글로벌 바이오 CDMO,1474000.0,1484000.0,1470000.0,1470000.0,1473000.0,1470000.0,-0.2,0.07,-0.27,0.95,0.68,0.0,Bearish Rejection,35.7,1965000.0,1458498.0,-25.2,0.87,,,,,,,,-29249.6054,-20274.8008,-8974.8046,Bearish,11.32,0.017,Strong Downtrend,1,1615633.0,-9.01,False,1688992.0,-12.97,False,1615316.0,-9.0,False,0,20.0,50.0,50,30.6,57.25,38.82
