symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
GOOG,GOOG,Alphabet Inc. (C),알파벳(구글) C,인터넷·광고,구글 검색·YouTube·GCP,347.5,-0.29,71.3,348.52,152.27,-0.3,1.01,32.2,364.0,4.7,Neutral,3,312.45,11.22,False,312.51,11.2,False,260.67,33.31,False,0.0,0
AAPL,AAPL,Apple Inc.,애플,소비자 전자기기,아이폰·맥·서비스 생태계,270.71,1.16,58.3,285.92,194.68,-5.3,0.79,34.3,297.71,10.0,Uptrend,4,262.3,3.21,False,265.38,2.01,False,245.47,10.28,False,39.0,0
TSLA,TSLA,Tesla Inc.,테슬라,전기차·에너지,전기차·에너지 저장·자율주행,376.02,-0.7,48.8,489.88,275.35,-23.2,0.71,341.8,416.45,10.8,Strong Downtrend,1,390.63,-3.74,False,416.07,-9.63,False,389.12,-3.37,False,28.0,0
NVDA,NVDA,NVIDIA Corp.,엔비디아,반도체·AI,GPU·데이터센터·AI 가속기,213.17,-1.59,71.0,216.61,108.7,-1.6,1.19,43.5,268.61,26.0,Strong Uptrend,5,185.78,14.74,False,185.47,14.94,False,176.98,20.45,False,35.0,0
META,META,Meta Platforms Inc.,메타 플랫폼스,소셜 미디어,페이스북·인스타그램·왓츠앱,671.34,-1.07,59.5,788.15,525.72,-14.8,0.66,28.6,855.11,27.4,Strong Downtrend,1,637.37,5.33,False,639.85,4.92,False,679.48,-1.2,True,54.0,1
AMZN,AMZN,Amazon.com Inc.,아마존,이커머스·클라우드,온라인 쇼핑·AWS 클라우드,259.7,-0.54,73.7,263.99,184.42,-1.6,0.92,36.2,283.82,9.3,Neutral,3,220.34,17.86,False,227.34,14.23,False,224.37,15.75,False,3.0,0
MSFT,MSFT,Microsoft Corp.,마이크로소프트,소프트웨어·클라우드,윈도우·Azure·Office 365,429.25,1.04,65.4,539.83,356.77,-20.5,0.91,26.9,572.67,33.4,Strong Downtrend,1,397.01,8.12,False,438.43,-2.09,False,468.76,-8.43,False,30.0,0
GOOGL,GOOGL,Alphabet Inc. (A),알파벳(구글) A,인터넷·광고,구글 검색·YouTube·GCP,349.78,-0.16,71.1,350.34,150.86,-0.2,1.07,32.3,378.5,8.2,Uptrend,4,313.29,11.65,False,312.62,11.89,False,260.3,34.38,False,9.0,0
AVGO,AVGO,Broadcom Inc.,브로드컴,반도체,네트워크·스토리지·AI 맞춤칩,399.83,-4.39,62.3,422.76,189.63,-5.4,1.13,77.8,475.49,18.9,Uptrend,4,341.55,17.06,False,347.14,15.18,False,322.61,23.94,False,46.0,0
AMD,AMD,Advanced Micro Devices,고급 마이크로 디바이스,반도체,CPU·GPU·AI 가속기,323.21,-3.41,73.5,347.81,96.06,-7.1,1.06,123.8,295.76,-8.5,Uptrend,4,224.49,43.98,False,224.88,43.73,False,194.56,66.12,False,-6.0,0
COST,COST,Costco Wholesale Corp.,코스트코,유통·소매,창고형 멤버십 할인마트,994.0,-0.4,48.1,1052.46,848.84,-5.6,0.94,51.6,1072.16,7.9,Neutral,3,994.9,-0.09,True,951.19,4.5,False,956.95,3.87,False,32.0,1
NFLX,NFLX,Netflix Inc.,넷플릭스,스트리밍·미디어,글로벌 OTT 동영상 스트리밍,92.27,0.99,41.3,133.91,75.86,-31.1,0.74,29.8,114.38,24.0,Downtrend,2,91.5,0.84,True,94.58,-2.44,False,107.81,-14.41,False,39.0,1
ASML,ASML,ASML Holding NV,ASML 홀딩 NV,반도체 장비,EUV 노광 장비 독점 공급,1384.56,-3.34,46.8,1523.18,660.93,-9.1,1.01,45.6,1661.09,20.0,Uptrend,4,1400.1,-1.11,True,1270.23,9.0,False,1046.46,32.31,False,55.0,1
PEP,PEP,PepsiCo Inc.,펩시코,식음료,펩시·게토레이·프리토레이 스낵,156.29,1.42,51.0,168.98,123.5,-7.5,0.82,24.6,172.0,10.1,Uptrend,4,159.04,-1.73,True,151.49,3.17,False,144.21,8.38,False,52.0,1
QCOM,QCOM,Qualcomm Inc.,퀄컴,반도체·통신,모바일 AP·5G 모뎀 칩,150.0,-0.17,73.9,185.53,124.07,-19.2,1.86,30.2,150.1,0.1,Strong Downtrend,1,135.85,10.42,False,152.06,-1.35,True,154.4,-2.85,False,3.0,1
INTU,INTU,Intuit Inc.,인튜이트,금융 소프트웨어,TurboTax·QuickBooks·Mint,400.38,2.68,48.6,801.96,350.94,-50.1,0.65,26.1,594.11,48.4,Strong Downtrend,0,415.45,-3.63,False,522.1,-23.31,False,616.13,-35.02,False,34.0,0
LIN,LIN,Linde plc,린데,산업용 가스,산소·질소·수소 등 산업 가스,510.29,-0.09,60.6,510.75,388.08,-0.1,1.41,34.9,525.49,3.0,Uptrend,4,489.95,4.15,False,456.25,11.84,False,459.07,11.16,False,36.0,0
