symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
TSLA,TSLA,Tesla Inc.,테슬라,전기차·에너지,전기차·에너지 저장·자율주행,372.07,384.75,368.17,381.63,372.8,381.63,2.37,-0.2,2.57,4.46,0.84,1.05,Bullish,51.8,489.88,275.35,-22.1,0.74,353.4,17.43,4.9,15.8,1433296830464.0,414.1,8.5,-0.3032,-1.5838,1.2805,Bullish,19.42,0.646,Strong Downtrend,1,389.14,-1.93,True,414.81,-8.0,False,389.39,-1.99,True,2,45.33,79.4,48.25,48.59,62.8,56.67
GOOGL,GOOGL,Alphabet Inc. (A),알파벳(구글) A,인터넷·광고,구글 검색·YouTube·GCP,374.16,385.83,365.82,384.8,349.94,384.8,9.96,6.92,2.84,5.35,0.28,2.23,Bullish,82.4,384.8,150.86,0.0,2.91,29.3,11.2,35.7,18.0,4655096004608.0,378.5,-1.6,14.5224,10.5975,3.9248,Bullish,24.61,1.139,Strong Uptrend,5,314.15,22.49,False,314.06,22.52,False,262.0,46.87,False,0,65.0,62.4,66.75,100.0,64.6,69.91
AMZN,AMZN,Amazon.com Inc.,아마존,이커머스·클라우드,온라인 쇼핑·AWS 클라우드,273.04,273.87,256.16,265.06,263.04,265.06,0.77,3.8,-2.92,6.49,0.3,3.26,Bearish,76.5,265.06,184.42,0.0,2.08,31.7,6.92,22.3,13.6,2850521874432.0,283.98,7.1,12.3745,11.1008,1.2737,Positive,28.84,0.793,Uptrend,4,221.11,19.88,False,227.58,16.47,False,224.84,17.89,False,0,53.0,61.6,61.75,73.39,65.4,61.2
GOOG,GOOG,Alphabet Inc. (C),알파벳(구글) C,인터넷·광고,구글 검색·YouTube·GCP,371.26,382.63,363.09,381.94,347.31,381.94,9.97,6.9,2.88,5.26,0.19,2.2,Bullish,82.5,381.94,152.27,0.0,2.76,29.2,11.12,35.7,18.0,4620328370176.0,364.0,-4.7,14.2128,10.2963,3.9165,Bullish,24.51,1.136,Neutral,3,313.18,21.96,False,313.91,21.67,False,262.33,45.6,False,0,41.0,62.4,66.75,100.0,64.6,62.71
NVDA,NVDA,NVIDIA Corp.,엔비디아,반도체·AI,GPU·데이터센터·AI 가속기,209.94,210.3,198.7,199.57,209.25,199.57,-4.63,0.33,-4.94,5.53,0.17,0.41,Strong Bearish,54.1,216.61,108.89,-7.9,1.54,40.7,30.84,101.5,73.2,4850548998144.0,269.17,34.9,7.112,6.3822,0.7298,Positive,24.1,0.572,Strong Uptrend,5,186.5,7.01,False,185.6,7.53,False,177.56,12.4,False,0,68.0,73.6,65.5,47.59,65.2,65.56
META,META,Meta Platforms Inc.,메타 플랫폼스,소셜 미디어,페이스북·인스타그램·왓츠앱,619.32,620.76,600.0,611.91,669.12,611.91,-8.55,-7.44,-1.2,3.35,0.23,1.92,Bearish,41.4,788.15,525.72,-22.4,3.67,22.3,7.13,30.2,23.8,1553286561792.0,855.11,39.7,11.3204,13.4801,-2.1597,Bearish,23.53,0.28,Strong Downtrend,0,635.43,-3.7,False,640.02,-4.39,False,679.4,-9.93,False,0,15.0,66.0,70.5,0.0,69.8,42.08
MSFT,MSFT,Microsoft Corp.,마이크로소프트,소프트웨어·클라우드,윈도우·Azure·Office 365,410.79,414.42,398.01,407.78,424.46,407.78,-3.93,-3.22,-0.73,3.99,0.88,2.38,Bearish,51.1,539.83,356.77,-24.5,2.19,25.6,7.75,34.4,16.7,3030774972416.0,570.72,40.0,9.2436,7.9068,1.3368,Positive,23.32,0.545,Strong Downtrend,1,397.0,2.72,False,436.89,-6.66,False,468.48,-12.96,False,0,27.0,76.6,66.75,4.49,69.8,48.25
AAPL,AAPL,Apple Inc.,애플,소비자 전자기기,아이폰·맥·서비스 생태계,270.5,275.94,268.14,271.35,270.17,271.35,0.44,0.12,0.31,2.88,1.7,0.87,Long Upper Doji,58.7,285.92,194.68,-5.1,2.06,34.4,45.24,152.0,15.7,3983727394816.0,298.46,10.0,3.708,3.2282,0.4797,Positive,9.67,0.742,Uptrend,4,262.34,3.43,False,265.4,2.24,False,245.96,10.32,False,0,63.0,77.2,61.75,71.08,65.4,67.75
AVGO,AVGO,Broadcom Inc.,브로드컴,반도체,네트워크·스토리지·AI 맞춤칩,415.52,418.38,404.23,417.43,405.45,417.43,2.95,2.48,0.46,3.41,0.23,2.72,Bullish Reversal,67.9,422.76,190.92,-1.3,1.0,81.1,24.75,33.4,29.5,1976392613888.0,475.49,13.9,22.0678,21.4721,0.5957,Positive,36.1,0.729,Uptrend,4,344.43,21.19,False,348.09,19.92,False,324.12,28.79,False,0,53.0,76.2,60.5,99.66,66.6,68.66
AMD,AMD,Advanced Micro Devices,고급 마이크로 디바이스,반도체,CPU·GPU·AI 가속기,341.36,354.96,332.6,354.49,337.11,354.49,5.16,1.26,3.85,6.55,0.14,2.57,Bullish,79.0,354.49,96.65,0.0,1.05,136.3,9.17,7.1,34.1,577964343296.0,300.54,-15.2,33.2375,26.2216,7.0158,Bullish,64.35,0.929,Strong Uptrend,5,227.87,55.57,False,226.42,56.56,False,196.48,80.42,False,0,65.0,61.4,52.0,99.66,58.6,66.06
