symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
AMD,AMD,Advanced Micro Devices,고급 마이크로 디바이스,반도체,CPU·GPU·AI 가속기,323.21,-3.41,73.5,347.81,96.06,-7.1,1.06,123.8,295.76,-8.5,Uptrend,4,224.49,43.98,False,224.88,43.73,False,194.56,66.12,False,-6.0,0
ADBE,ADBE,Adobe Inc.,어도비,소프트웨어,포토샵·Acrobat·Creative Cloud,243.2,1.63,48.2,420.68,225.35,-42.2,0.85,14.2,327.95,34.8,Strong Downtrend,0,254.44,-4.42,False,291.5,-16.57,False,329.7,-26.24,False,38.0,0
ABBV,ABBV,AbbVie Inc.,애브비(주),헬스케어,"연구 기반의 바이오제약 회사인 AbbVie Inc.는 연구 개발, 제조, 상업 분야에 종사하고 있습니다.",197.69,0.16,34.3,238.71,171.84,-17.2,0.74,83.4,249.27,26.1,Strong Downtrend,1,215.62,-8.32,False,218.63,-9.58,False,208.79,-5.32,False,29.0,0
AES,AES,The AES Corporation,AES 공사,유틸리티,AES Corporation은 자회사와 함께 발전 및 유틸리티 회사로 운영됩니다. 3번으로 운영됩니다,14.48,-0.07,52.6,17.28,9.27,-16.2,1.33,11.1,15.11,4.4,Uptrend,4,14.88,-2.69,False,14.41,0.49,True,13.36,8.38,False,53.0,1
MMM,MMM,3M Company,3M 회사,산업재,"3M Company는 미국, 아시아 태평양, 유럽, 중동, 아프리카 및 전 세계에서 다양한 기술 서비스를 제공합니다.",146.03,0.18,43.3,173.83,135.4,-16.0,0.92,28.1,175.03,19.9,Strong Downtrend,1,154.6,-5.54,False,159.28,-8.32,False,155.53,-6.11,False,35.0,0
AOS,AOS,A. O. Smith Corporation,A.O. 스미스 주식회사,산업재,"A. O. Smith Corporation은 주거용 및 상업용 가스, 전기 온수기, 보일러, 온수기를 제조 및 판매합니다.",63.91,-1.19,41.7,80.47,61.8,-20.6,0.75,16.6,78.3,22.5,Downtrend,2,70.28,-9.06,False,68.96,-7.32,False,68.76,-7.05,False,45.0,0
ACN,ACN,Accenture plc,액센츄어 PLC,기술,"Accenture plc는 미주 지역에서 전략 및 컨설팅, Industry X, 노래, 기술 및 운영 서비스를 제공합니다.",177.75,0.44,34.9,318.9,176.97,-44.3,0.85,14.6,250.51,40.9,Strong Downtrend,0,203.61,-12.7,False,232.94,-23.69,False,250.83,-29.14,False,25.0,0
ABT,ABT,Abbott Laboratories,애보트 연구소,헬스케어,"Abbott Laboratories는 자회사와 함께 건강 관리 제품을 발견, 개발, 제조 및 판매합니다.",93.86,1.14,35.9,135.32,91.13,-30.6,0.94,26.3,118.64,26.4,Strong Downtrend,0,105.71,-11.21,False,114.04,-17.7,False,121.72,-22.89,False,31.0,0
ABNB,ABNB,Airbnb Inc.,에어비앤비,여행·숙박 플랫폼,글로벌 숙박 공유 플랫폼,139.04,-1.43,56.6,144.18,111.54,-3.6,1.3,34.5,147.68,6.2,Uptrend,4,130.26,6.74,False,129.1,7.7,False,129.25,7.57,False,39.0,0
AFL,AFL,Aflac Incorporated,Aflac 법인,금융 서비스,Aflac Incorporated는 자회사를 통해 보충적인 건강 및 생명 보험 상품을 제공합니다. 그것은 t에서 작동합니다,116.29,1.4,65.9,116.85,96.54,-0.5,0.67,17.1,111.86,-3.8,Strong Uptrend,5,111.87,3.95,False,110.76,4.99,False,107.4,8.28,False,22.0,0
