symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
ADBE,ADBE,Adobe Inc.,어도비,소프트웨어,포토샵·Acrobat·Creative Cloud,240.11,246.68,236.32,246.1,243.57,246.1,1.04,-1.42,2.49,4.31,0.24,1.58,Bullish,50.3,420.68,225.35,-41.5,0.97,14.3,8.74,58.8,12.0,99473620992.0,327.95,33.3,-1.5001,-2.5792,1.0791,Bullish,11.03,0.647,Strong Downtrend,0,253.18,-2.8,False,289.99,-15.14,False,328.39,-25.06,False,0,7.0,82.4,71.0,27.28,61.8,47.17
ACN,ACN,Accenture plc,액센츄어 PLC,기술,"Accenture plc는 미주 지역에서 전략 및 컨설팅, Industry X, 노래, 기술 및 운영 서비스를 제공합니다.",178.32,178.99,173.67,178.71,180.26,178.71,-0.86,-1.08,0.22,2.98,0.16,2.61,Long Lower Doji,37.0,318.9,176.97,-44.0,1.18,14.6,3.52,24.8,8.3,109984415744.0,250.51,40.2,-5.6558,-4.9539,-0.7019,Improving,16.96,0.196,Strong Downtrend,0,201.19,-11.17,False,231.88,-22.93,False,249.68,-28.42,False,0,0.0,67.2,76.75,61.56,66.0,47.98
AOS,AOS,A. O. Smith Corporation,A.O. 스미스 주식회사,산업재,"A. O. Smith Corporation은 주거용 및 상업용 가스, 전기 온수기, 보일러, 온수기를 제조 및 판매합니다.",64.64,65.29,59.83,61.84,63.68,61.84,-2.89,1.51,-4.33,8.45,1.01,3.11,Bearish,34.9,80.47,61.8,-23.2,3.09,16.1,4.61,29.2,0.0,8548749824.0,78.3,26.6,-1.0914,-1.0378,-0.0536,Bearish,8.72,-0.039,Downtrend,2,69.85,-11.47,False,68.92,-10.27,False,68.72,-10.01,False,0,32.0,50.0,71.75,72.95,69.8,54.37
AMD,AMD,Advanced Micro Devices,고급 마이크로 디바이스,반도체,CPU·GPU·AI 가속기,341.36,354.96,332.6,354.49,337.11,354.49,5.16,1.26,3.85,6.55,0.14,2.57,Bullish,79.0,354.49,96.65,0.0,1.05,136.3,9.17,7.1,34.1,577964343296.0,300.54,-15.2,33.2375,26.2216,7.0158,Bullish,64.35,0.929,Strong Uptrend,5,227.87,55.57,False,226.42,56.56,False,196.48,80.42,False,0,65.0,61.4,52.0,93.67,58.6,65.16
ABBV,ABBV,AbbVie Inc.,애브비(주),헬스케어,"연구 기반의 바이오제약 회사인 AbbVie Inc.는 연구 개발, 제조, 상업 분야에 종사하고 있습니다.",209.0,214.87,208.17,211.32,203.89,211.32,3.64,2.51,1.11,3.21,1.7,0.4,Bullish,56.0,238.71,171.84,-11.5,1.15,103.6,-114.23,,12.4,373774876672.0,249.27,18.0,-2.6197,-3.2622,0.6425,Bullish,8.29,0.866,Strong Downtrend,1,215.08,-1.75,True,218.54,-3.3,False,209.07,1.08,True,2,45.33,76.4,50.0,53.88,74.8,58.26
MMM,MMM,3M Company,3M 회사,산업재,"3M Company는 미국, 아시아 태평양, 유럽, 중동, 아프리카 및 전 세계에서 다양한 기술 서비스를 제공합니다.",144.0,146.9,143.83,146.52,143.87,146.52,1.84,0.09,1.75,2.13,0.26,0.12,Strong Bullish,45.9,173.83,135.4,-15.7,0.97,28.2,23.42,71.5,1.3,76420038656.0,175.03,19.5,-1.327,-1.1245,-0.2025,Improving,9.03,0.376,Strong Downtrend,1,154.31,-5.05,False,159.02,-7.86,False,155.52,-5.79,False,0,20.0,79.6,61.75,72.95,69.6,56.15
AES,AES,The AES Corporation,AES 공사,유틸리티,AES Corporation은 자회사와 함께 발전 및 유틸리티 회사로 운영됩니다. 3번으로 운영됩니다,14.49,14.49,14.45,14.45,14.45,14.45,0.0,0.28,-0.28,0.28,0.0,0.0,Strong Bearish,50.3,17.28,9.27,-16.4,0.75,11.0,2.53,1.9,4.7,10303884288.0,15.11,4.6,0.0065,-0.0114,0.0179,Positive,1.51,0.567,Uptrend,4,14.85,-2.69,False,14.42,0.21,True,13.38,8.0,False,1,74.67,64.6,67.5,86.59,54.8,70.52
ABT,ABT,Abbott Laboratories,애보트 연구소,헬스케어,"Abbott Laboratories는 자회사와 함께 건강 관리 제품을 발견, 개발, 제조 및 판매합니다.",91.48,91.48,90.29,90.79,91.33,90.79,-0.59,0.16,-0.75,1.3,0.0,0.55,Bearish,30.6,135.32,90.79,-32.9,1.21,25.4,3.02,,7.8,157764239360.0,118.64,30.7,-3.672,-3.4572,-0.2148,Improving,18.44,0.161,Strong Downtrend,0,105.13,-13.64,False,113.5,-20.01,False,121.41,-25.22,False,0,0.0,66.6,66.0,53.88,62.0,44.13
A,A,"Agilent Technologies, Inc.","애질런트 테크놀로지스, Inc.",헬스케어,"Agilent Technologies, Inc.는 생명 과학, 진단 및 응용 화학 분야에 응용 중심 솔루션을 제공합니다.",111.81,115.98,111.32,115.55,111.3,115.55,3.82,0.46,3.34,4.17,0.38,0.44,Strong Bullish,47.9,156.56,104.38,-26.2,0.91,25.5,4.73,20.0,7.0,32654696448.0,160.69,39.1,-0.4642,0.0039,-0.4681,Improving,10.26,0.378,Strong Downtrend,1,118.3,-2.32,False,130.36,-11.36,False,126.85,-8.91,False,0,27.0,79.6,72.5,53.88,74.4,58.02
ABNB,ABNB,Airbnb Inc.,에어비앤비,여행·숙박 플랫폼,글로벌 숙박 공유 플랫폼,142.0,142.0,138.64,140.36,140.28,140.36,0.06,1.23,-1.15,2.37,0.0,1.21,Bearish,58.6,144.18,111.54,-2.6,0.61,34.8,10.31,30.2,12.0,83447562240.0,147.68,5.2,3.1234,3.0028,0.1207,Positive,19.54,0.658,Strong Uptrend,5,130.72,7.37,False,129.4,8.47,False,129.28,8.57,False,0,65.0,67.6,61.75,80.42,56.2,66.43
