symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
ARKK,ARKK,ARK Innovation ETF,혁신성장 ETF,혁신성장,High-beta innovation proxy.,75.85,77.28,75.44,76.92,75.84,76.92,1.42,0.01,1.41,2.43,0.47,0.54,Bullish,57.0,92.53,48.78,-16.9,0.6,50.6,,,,,,,1.35,1.4363,-0.0863,Improving,19.88,0.649,Downtrend,2,72.16,6.6,False,75.69,1.63,True,75.62,1.72,True,2,57.33,73.0,25.0,53.94,67.5,55.29
SOXX,SOXX,iShares Semiconductor ETF,반도체 ETF,반도체,Semiconductor cycle proxy.,458.47,466.91,455.07,465.75,461.44,465.75,0.93,-0.64,1.59,2.58,0.25,0.74,Bullish,75.9,465.75,182.42,0.0,0.66,52.3,1.1,,,,,,28.6171,25.063,3.5541,Positive,35.63,0.847,Strong Uptrend,5,366.77,26.99,False,339.58,37.15,False,295.29,57.73,False,0,65.0,54.0,50.0,86.51,55.25,61.5
XLF,XLF,Financial Select Sector SPDR,금융 ETF,금융,Financial sector proxy.,52.4,52.61,51.92,51.92,52.13,51.92,-0.4,0.52,-0.92,1.32,0.4,0.0,Strong Bearish,57.0,56.11,47.81,-7.5,1.21,17.5,1.53,,,,,,0.4416,0.46,-0.0184,Bearish,5.78,0.588,Downtrend,2,50.9,2.0,True,52.2,-0.54,True,52.03,-0.21,True,3,64.0,63.0,78.5,41.2,55.5,62.38
ICLN,ICLN,iShares Global Clean Energy ETF,클린에너지 ETF,클린에너지,Clean energy proxy.,20.82,21.06,20.65,20.95,20.77,20.95,0.87,0.24,0.62,1.97,0.53,0.82,Bullish,69.5,20.95,11.53,0.0,1.16,23.8,,,,,,,0.5661,0.4412,0.1249,Bullish,17.3,0.931,Strong Uptrend,5,18.78,11.55,False,17.93,16.84,False,16.1,30.12,False,0,65.0,61.4,65.0,86.09,65.75,67.34
IBB,IBB,iShares Biotechnology ETF,바이오테크 ETF,바이오테크,Biotechnology proxy.,167.97,168.11,166.0,167.27,168.69,167.27,-0.84,-0.43,-0.42,1.26,0.08,0.76,Bearish,44.3,177.51,116.35,-5.8,0.9,22.9,1.03,,,,,,-0.3777,0.4576,-0.8353,Bearish,7.81,0.187,Neutral,3,170.28,-1.77,True,170.14,-1.69,True,153.8,8.76,False,2,69.33,57.0,70.0,50.12,51.5,61.72
XLK,XLK,Technology Select Sector SPDR,기술 ETF,기술,Large-cap technology proxy.,160.39,162.29,160.14,161.87,159.5,161.87,1.49,0.56,0.92,1.34,0.26,0.16,Strong Bullish,73.5,161.87,105.92,0.0,0.98,38.5,1.08,,,,,,5.6644,4.9954,0.669,Positive,21.35,0.815,Uptrend,4,142.63,13.49,False,143.33,12.94,False,137.48,17.74,False,0,53.0,60.6,60.0,78.43,61.75,60.99
XLE,XLE,Energy Select Sector SPDR,에너지 ETF,에너지,Energy sector proxy.,59.06,59.6,58.26,58.85,59.65,58.85,-1.34,-0.99,-0.36,2.27,0.91,1.0,Bearish,57.2,62.56,39.0,-5.9,0.79,22.7,1.13,,,,,,0.2163,-0.0567,0.273,Bullish,10.59,0.756,Strong Uptrend,5,56.87,3.48,False,51.35,14.61,False,46.9,25.48,False,0,75.0,72.0,70.0,70.62,51.5,70.24
BOTZ,BOTZ,Global X Robotics & AI ETF,로봇·AI ETF,로봇·AI,Robotics and AI proxy.,38.51,38.71,38.43,38.6,38.45,38.6,0.39,0.16,0.23,0.73,0.29,0.21,Bullish,62.9,39.66,28.52,-2.7,1.05,39.5,,,,,,,0.7891,0.5723,0.2167,Bullish,16.15,0.838,Neutral,3,36.42,5.99,False,36.4,6.04,False,35.06,10.1,False,0,41.0,71.4,45.0,58.73,65.75,54.53
MCHI,MCHI,iShares MSCI China ETF,중국 대형주 ETF,중국,China large-cap equity proxy.,57.57,58.01,57.55,57.72,57.57,57.72,0.26,0.0,0.26,0.8,0.5,0.03,Bullish,51.6,66.18,50.47,-12.8,0.69,12.9,,,,,,,0.0152,0.0408,-0.0257,Improving,6.64,0.54,Strong Downtrend,1,58.1,-0.65,True,59.96,-3.74,False,59.41,-2.84,False,1,38.67,73.0,82.0,33.82,61.0,57.42
HACK,HACK,ETFMG Prime Cyber Security ETF,사이버보안 ETF,사이버보안,Cybersecurity industry proxy.,80.11,81.24,79.63,80.78,79.25,80.78,1.93,1.09,0.84,2.01,0.57,0.6,Bullish,58.2,89.1,70.69,-9.3,0.44,30.6,,,,,,,1.0346,0.7554,0.2792,Bullish,13.52,0.778,Strong Downtrend,1,76.56,5.51,False,79.07,2.16,False,81.97,-1.45,True,1,38.67,79.4,45.0,45.51,61.75,53.45
